event,particle,hit,x,y
0.0,10000100.0,100000640.0,247.365071766,968.954400348
0.0,10000100.0,100000830.0,494.712256132,1937.8813173
0.0,10000100.0,100001150.0,742.059440498,2906.80823424
0.0,10000100.0,100000010.0,989.406624865,3875.73515119
0.0,10000100.0,100000560.0,1236.75380923,4844.66206814
0.0,10000100.0,100001200.0,1484.1009936,5813.58898509
0.0,10000100.0,100001050.0,1731.44817796,6782.51590204
0.0,10000100.0,100000890.0,1978.79536233,7751.44281898
0.0,10000130.0,100001110.0,-986.482016058,-163.899920798
0.0,10000130.0,100000400.0,-1972.96381922,-327.770760295
0.0,10000130.0,100000920.0,-2959.44562237,-491.641599793
0.0,10000130.0,100000880.0,-3945.92742553,-655.512439291
0.0,10000130.0,100000750.0,-4932.40922869,-819.383278789
0.0,10000130.0,100001790.0,-5918.89103185,-983.254118286
0.0,10000130.0,100000410.0,-6905.37283501,-1147.12495778
0.0,10000130.0,100000630.0,-7891.85463817,-1310.99579728
0.0,10000020.0,100000550.0,632.860080515,774.256419303
0.0,10000020.0,100001090.0,1265.73377613,1548.51147121
0.0,10000020.0,100000320.0,1898.60747175,2322.76652311
0.0,10000020.0,100001370.0,2531.48116736,3097.02157501
0.0,10000020.0,100000300.0,3164.35486298,3871.27662692
0.0,10000020.0,100000490.0,3797.22855859,4645.53167882
0.0,10000020.0,100000250.0,4430.10225421,5419.78673072
0.0,10000020.0,100001870.0,5062.97594982,6194.04178263
0.0,10000010.0,100000260.0,774.497552277,-632.576905615
0.0,10000010.0,100000020.0,1615.40681748,-1179.17802475
0.0,10000010.0,100001540.0,2516.10012184,-1633.7809452
0.0,10000010.0,100000440.0,3469.757853,-1990.17095787
0.0,10000010.0,100000580.0,4469.24315355,-2241.84424847
0.0,10000010.0,100001470.0,5506.96299969,-2381.88129847
0.0,10000010.0,100000420.0,6574.69445533,-2402.78855064
0.0,10000010.0,100000610.0,7663.35738173,-2296.29127942
0.0,10000140.0,100001410.0,866.934011015,498.422933407
0.0,10000140.0,100001420.0,1699.09945364,1055.01708357
0.0,10000140.0,100000090.0,2493.43632503,1668.16524751
0.0,10000140.0,100000450.0,3246.85196591,2336.22608313
0.0,10000140.0,100001880.0,3956.19941314,3057.52942806
0.0,10000140.0,100001040.0,4618.25719727,3830.36557783
0.0,10000140.0,100000990.0,5229.70719296,4652.97353054
0.0,10000140.0,100000460.0,5787.10983673,5523.52783443
0.0,10000150.0,100001210.0,246.378914015,-969.17358132
0.0,10000150.0,100000120.0,664.958202636,-1886.22124597
0.0,10000150.0,100001550.0,1251.738174,-2726.38066743
0.0,10000150.0,100001190.0,2002.38195675,-3462.72529943
0.0,10000150.0,100001630.0,2911.94435261,-4064.55164653
0.0,10000150.0,100000530.0,3974.46377054,-4494.84568553
0.0,10000150.0,100000970.0,5182.23777309,-4705.78491467
0.0,10000150.0,100001650.0,6524.34619153,-4629.56874591
0.0,10000000.0,100000350.0,527.297830519,849.684258973
0.0,10000000.0,100001840.0,1054.61981384,1699.34979665
0.0,10000000.0,100001390.0,1581.94179716,2549.01533432
0.0,10000000.0,100001660.0,2109.26378048,3398.68087199
0.0,10000000.0,100000180.0,2636.5857638,4248.34640966
0.0,10000000.0,100001700.0,3163.90774711,5098.01194734
0.0,10000000.0,100000140.0,3691.22973043,5947.67748501
0.0,10000000.0,100000160.0,4218.55171375,6797.34302268
0.0,10000180.0,100000860.0,-419.164936398,-907.910103531
0.0,10000180.0,100000600.0,-986.524975744,-1739.76103883
0.0,10000180.0,100000540.0,-1694.75818704,-2475.43828189
0.0,10000180.0,100000060.0,-2535.98625859,-3093.34344944
0.0,10000180.0,100001800.0,-3501.40409573,-3569.33738366
0.0,10000180.0,100001960.0,-4580.7130073,-3875.18623356
0.0,10000180.0,100001300.0,-5761.19104582,-3976.01279343
0.0,10000180.0,100000200.0,-7025.9910605,-3825.630617
0.0,10000060.0,100001320.0,962.678399062,-270.711780983
0.0,10000060.0,100000710.0,1925.33838232,-541.425202566
0.0,10000060.0,100000870.0,2887.99836559,-812.138624149
0.0,10000060.0,100000190.0,3850.65834885,-1082.85204573
0.0,10000060.0,100001010.0,4813.31833211,-1353.56546732
0.0,10000060.0,100001920.0,5775.97831537,-1624.2788889
0.0,10000060.0,100000660.0,6738.63829864,-1894.99231048
0.0,10000060.0,100000810.0,7701.2982819,-2165.70573206
0.0,10000170.0,100001480.0,839.38491636,-543.537452423
0.0,10000170.0,100000730.0,1729.22349043,-1004.88114727
0.0,10000170.0,100001060.0,2663.78905308,-1379.93763652
0.0,10000170.0,100000130.0,3637.22797749,-1664.50372176
0.0,10000170.0,100000330.0,4643.47436376,-1854.22378183
0.0,10000170.0,100001560.0,5676.16210046,-1944.52662858
0.0,10000170.0,100000220.0,6728.51966116,-1930.54996552
0.0,10000170.0,100000040.0,7793.23953602,-1807.0466331
0.0,10000190.0,100000670.0,-833.738059434,552.160165397
0.0,10000190.0,100001830.0,-1606.87025502,1190.78460837
0.0,10000190.0,100000110.0,-2312.11908514,1911.57143108
0.0,10000190.0,100000790.0,-2941.99219106,2710.10736831
0.0,10000190.0,100000650.0,-3488.66890281,3581.78576782
0.0,10000190.0,100001610.0,-3943.85852493,4521.72311573
0.0,10000190.0,100000470.0,-4298.62512418,5524.65583017
0.0,10000190.0,100001680.0,-4543.16142593,6584.80707827
0.0,10000160.0,100001130.0,-952.508756098,-304.511197752
0.0,10000160.0,100000380.0,-1863.12913527,-727.151858483
0.0,10000160.0,100000280.0,-2720.26750094,-1264.9682697
0.0,10000160.0,100001350.0,-3511.8509924,-1914.91582249
0.0,10000160.0,100000230.0,-4225.04642327,-2673.7581643
0.0,10000160.0,100001280.0,-4845.8979611,-3537.97582675
0.0,10000160.0,100000510.0,-5358.8423228,-4503.64396455
0.0,10000160.0,100000370.0,-5746.02131005,-5566.25898647
0.0,10000040.0,100001260.0,-628.582489298,-777.742922917
0.0,10000040.0,100001400.0,-1092.51578831,-1675.2340888
0.0,10000040.0,100000770.0,-1368.99393386,-2669.42982846
0.0,10000040.0,100001070.0,-1432.59473356,-3734.65826139
0.0,10000040.0,100000910.0,-1253.11836511,-4840.42295291
0.0,10000040.0,100000760.0,-791.753267948,-5947.53114853
0.0,10000040.0,100001940.0,6.94231861533,-6999.99655744
0.0,10000040.0,100001380.0,1235.91978667,-7903.95485064
0.0,10000120.0,100001030.0,780.587951939,625.109215483
0.0,10000120.0,100000680.0,1561.14776888,1250.19030797
0.0,10000120.0,100000480.0,2341.70758582,1875.27140045
0.0,10000120.0,100000080.0,3122.26740276,2500.35249293
0.0,10000120.0,100001780.0,3902.8272197,3125.43358542
0.0,10000120.0,100001250.0,4683.38703663,3750.5146779
0.0,10000120.0,100000430.0,5463.94685357,4375.59577038
0.0,10000120.0,100001000.0,6244.50667051,5000.67686287
0.0,10000110.0,100001160.0,-801.178737981,598.362015875
0.0,10000110.0,100001490.0,-1602.38447816,1196.75098795
0.0,10000110.0,100000520.0,-2403.59021834,1795.13996002
0.0,10000110.0,100001600.0,-3204.79595853,2393.5289321
0.0,10000110.0,100001580.0,-4006.00169871,2991.91790417
0.0,10000110.0,100000270.0,-4807.20743889,3590.30687625
0.0,10000110.0,100001570.0,-5608.41317907,4188.69584832
0.0,10000110.0,100000390.0,-6409.61891925,4787.0848204
1.0,10000190.0,100000320.0,54.5216348552,-998.512589471
1.0,10000190.0,100000260.0,-35.2116125047,-1999.69001156
1.0,10000190.0,100001400.0,-271.204772312,-2987.71617987
1.0,10000190.0,100000390.0,-655.576144182,-3945.9117982
1.0,10000190.0,100000860.0,-1190.62500434,-4856.17257715
1.0,10000190.0,100001590.0,-1878.92765453,-5698.21295399
1.0,10000190.0,100001170.0,-2723.47756709,-6448.46260294
1.0,10000190.0,100000090.0,-3727.9062816,-7078.32711561
1.0,10000060.0,100000250.0,566.937280016,-823.791375593
1.0,10000060.0,100000800.0,1133.84557373,-1647.57228489
1.0,10000060.0,100001870.0,1700.75386745,-2471.35319418
1.0,10000060.0,100001660.0,2267.66216116,-3295.13410347
1.0,10000060.0,100001130.0,2834.57045488,-4118.91501277
1.0,10000060.0,100001180.0,3401.47874859,-4942.69592206
1.0,10000060.0,100001930.0,3968.38704231,-5766.47683135
1.0,10000060.0,100000330.0,4535.29533603,-6590.25774065
1.0,10000000.0,100001360.0,428.481730271,-903.550445091
1.0,10000000.0,100000550.0,772.642563041,-1844.72856263
1.0,10000000.0,100000040.0,1029.46154704,-2817.83763251
1.0,10000000.0,100001680.0,1195.8446282,-3817.06112411
1.0,10000000.0,100000070.0,1268.59523457,-4836.38978276
1.0,10000000.0,100001420.0,1244.37253849,-5869.54316667
1.0,10000000.0,100000600.0,1119.64221806,-6909.8770831
1.0,10000000.0,100000720.0,890.616350719,-7950.27059387
1.0,10000180.0,100001860.0,844.449931318,-535.63449618
1.0,10000180.0,100001160.0,1566.46820263,-1243.453807
1.0,10000180.0,100001120.0,2134.68918859,-2107.86671024
1.0,10000180.0,100000110.0,2513.8430155,-3111.36518162
1.0,10000180.0,100000700.0,2661.40393239,-4232.83936722
1.0,10000180.0,100001920.0,2521.39144168,-5444.50045439
1.0,10000180.0,100001000.0,2010.58672213,-6705.03848108
1.0,10000180.0,100000570.0,978.795381349,-7939.89669967
